id,language,category,name,description,code,imports_or_contract,notes
1,javascript,connect,authenticate-user,"Authenticate user with wallet","import { showConnect } from '@stacks/connect'; import { AppConfig, UserSession } from '@stacks/auth'; const appConfig = new AppConfig(['store_write', 'publish_data']); const userSession = new UserSession({ appConfig }); showConnect({ appDetails: { name: 'My App', icon: '/logo.png' }, redirectTo: '/', onFinish: () => window.location.reload(), userSession })","import { showConnect } from '@stacks/connect'; import { AppConfig, UserSession } from '@stacks/auth'","Opens wallet connection modal; redirects after auth"
2,javascript,connect,check-authentication,"Check if user is authenticated","import { UserSession, AppConfig } from '@stacks/auth'; const appConfig = new AppConfig(['store_write']); const userSession = new UserSession({ appConfig }); if (userSession.isUserSignedIn()) { const userData = userSession.loadUserData(); console.log('User:', userData.profile.stxAddress.mainnet) } else { console.log('Not authenticated') }","import { UserSession, AppConfig } from '@stacks/auth'","Check auth status before protected operations"
3,javascript,connect,sign-out-user,"Sign out user","import { UserSession, AppConfig } from '@stacks/auth'; const appConfig = new AppConfig(['store_write']); const userSession = new UserSession({ appConfig }); userSession.signUserOut(); window.location.href = '/'","import { UserSession, AppConfig } from '@stacks/auth'","Clears session and redirects to home"
4,javascript,profile,get-user-profile,"Get user profile data","import { UserSession } from '@stacks/auth'; const userSession = new UserSession(); const userData = userSession.loadUserData(); const profile = { stxAddress: userData.profile.stxAddress.mainnet, btcAddress: userData.profile.btcAddress, username: userData.username, name: userData.profile.name, image: userData.profile.image }","import { UserSession } from '@stacks/auth'","Returns wallet addresses and BNS username"
5,javascript,signing,sign-message,"Sign message with wallet","import { openSignatureRequestPopup } from '@stacks/connect'; const message = 'Verify ownership of this address'; openSignatureRequestPopup({ message, onFinish: (data) => { console.log('Signature:', data.signature); console.log('Public key:', data.publicKey) }})","import { openSignatureRequestPopup } from '@stacks/connect'","Proves wallet ownership without transaction"
6,javascript,signing,verify-signature,"Verify signed message","import { verifyMessageSignature } from '@stacks/encryption'; const isValid = verifyMessageSignature({ message: 'Verify ownership', signature: signatureData.signature, publicKey: publicKey }); console.log('Valid:', isValid)","import { verifyMessageSignature } from '@stacks/encryption'","Cryptographically verify message was signed by public key"
7,javascript,session,persist-session,"Persist auth session to localStorage","import { UserSession } from '@stacks/auth'; const userSession = new UserSession(); if (userSession.isUserSignedIn()) { const userData = userSession.loadUserData(); localStorage.setItem('stacks_session', JSON.stringify({ address: userData.profile.stxAddress.mainnet, username: userData.username, timestamp: Date.now() })) }","import { UserSession } from '@stacks/auth'","Cache session data for faster page loads"
8,javascript,session,restore-session,"Restore auth session from cache","const cachedSession = localStorage.getItem('stacks_session'); if (cachedSession) { const session = JSON.parse(cachedSession); const hourAgo = Date.now() - 3600000; if (session.timestamp > hourAgo) { console.log('Cached session:', session.address) } else { localStorage.removeItem('stacks_session') }}","None","Validate timestamp to prevent stale sessions"
9,javascript,permissions,request-permissions,"Request specific permissions","import { AppConfig, UserSession } from '@stacks/auth'; const appConfig = new AppConfig(['store_write', 'publish_data', 'email']); const userSession = new UserSession({ appConfig })","import { AppConfig, UserSession } from '@stacks/auth'","Permissions: store_write, publish_data, email"
10,javascript,encryption,encrypt-data,"Encrypt data with user key","import { encryptContent } from '@stacks/encryption'; import { UserSession } from '@stacks/auth'; const userSession = new UserSession(); const userData = userSession.loadUserData(); const encrypted = await encryptContent(JSON.stringify(sensitiveData), { publicKey: userData.profile.publicKey })","import { encryptContent } from '@stacks/encryption'; import { UserSession } from '@stacks/auth'","Only user with private key can decrypt"
