id,network,step,description,command,notes
1,testnet,faucet,"Get testnet STX","Visit https://explorer.hiro.so/sandbox/faucet?chain=testnet","Free testnet tokens for testing"
2,testnet,check-syntax,"Check contract syntax","clarinet check","Local validation before deployment"
3,testnet,deploy-cli,"Deploy via Clarinet CLI","clarinet deployments apply -p deployments/default.testnet-plan.yaml","Requires Clarinet installed"
4,testnet,deploy-explorer,"Deploy via Hiro Explorer","Visit https://explorer.hiro.so/sandbox/deploy?chain=testnet","Paste contract code in browser"
5,testnet,verify,"Verify testnet deployment","Visit https://explorer.hiro.so/txid/{txid}?chain=testnet","Check transaction status"
6,testnet,call-function,"Call function on testnet","clarinet console (contract-call? .contract-name function-name args)","Test contract functionality"
7,mainnet,check-balance,"Ensure sufficient STX","stacks-cli balance {address}","Need ~0.5 STX for deployment fee"
8,mainnet,deploy-cli,"Deploy via Clarinet CLI","clarinet deployments apply -p deployments/default.mainnet-plan.yaml","~0.1-0.5 STX fee"
9,mainnet,deploy-explorer,"Deploy via Hiro Explorer","Visit https://explorer.hiro.so/sandbox/deploy?chain=mainnet","Connect Leather or Xverse wallet"
10,mainnet,verify,"Verify mainnet deployment","Visit https://explorer.hiro.so/txid/{txid}?chain=mainnet","Wait ~10 minutes for confirmation"
11,mainnet,contract-address,"Get contract address","SP{address}.{contract-name}","Format: deployer-address.contract-name"
12,both,clarinet-check,"Validate contract locally","clarinet check","Check syntax and type errors"
13,both,clarinet-test,"Run contract tests","clarinet test","Execute test suite"
14,both,clarinet-console,"Interactive REPL","clarinet console","Test functions interactively"
15,both,format-check,"Check code formatting","clarinet format --check","Ensure proper Clarity formatting"
16,devnet,start-devnet,"Start local devnet","clarinet integrate","Local blockchain for development"
17,devnet,deploy-local,"Deploy to local devnet","clarinet deployments apply -p deployments/default.devnet-plan.yaml","Test on local chain"
18,tools,install-clarinet,"Install Clarinet CLI","brew install clarinet (macOS) or visit https://github.com/hirosystems/clarinet","Required for local development"
19,tools,install-stacks-cli,"Install Stacks CLI","npm install -g @stacks/cli","Command-line tool for Stacks"
20,verification,read-contract,"Read deployed contract","https://api.hiro.so/v2/contracts/interface/{address}/{name}","Get contract ABI and source"
21,verification,call-read-only,"Test read-only function","curl https://api.hiro.so/v2/contracts/call-read/{address}/{name}/{function}","Call without transaction"
22,security,audit-checklist,"Security audit checklist","Review access controls input validation error handling reentrancy","Pre-deployment security review"
23,security,testnet-first,"Always test on testnet first","Deploy to testnet -> test thoroughly -> then deploy to mainnet","Prevent costly mainnet mistakes"
24,monitoring,setup-alerts,"Monitor contract activity","Use Hiro Platform or custom indexer","Track contract calls and events"
25,post-deployment,verify-source,"Publish verified source","Submit to Hiro Explorer or blockchain explorers","Increase contract transparency and trust"
